schemaname,tablename,indexname,indexdef
public,claim_split_requests,claim_split_requests_pending_unique,"CREATE UNIQUE INDEX claim_split_requests_pending_unique ON public.claim_split_requests USING btree (item_id, requester_id, original_claimer_id) WHERE (status = 'pending'::text)"
public,claim_split_requests,claim_split_requests_pkey,CREATE UNIQUE INDEX claim_split_requests_pkey ON public.claim_split_requests USING btree (id)
public,claim_split_requests,idx_claim_split_requests_item,CREATE INDEX idx_claim_split_requests_item ON public.claim_split_requests USING btree (item_id)
public,claim_split_requests,idx_claim_split_requests_original_claimer,CREATE INDEX idx_claim_split_requests_original_claimer ON public.claim_split_requests USING btree (original_claimer_id) WHERE (status = 'pending'::text)
public,claims,claims_item_id_claimer_id_key,"CREATE UNIQUE INDEX claims_item_id_claimer_id_key ON public.claims USING btree (item_id, claimer_id)"
public,claims,claims_pkey,CREATE UNIQUE INDEX claims_pkey ON public.claims USING btree (id)
public,claims,idx_claims_assigned_to,CREATE INDEX idx_claims_assigned_to ON public.claims USING btree (assigned_to)
public,claims,idx_claims_assigned_to_item,"CREATE INDEX idx_claims_assigned_to_item ON public.claims USING btree (assigned_to, item_id) WHERE (assigned_to IS NOT NULL)"
public,claims,idx_claims_claimer_id,CREATE INDEX idx_claims_claimer_id ON public.claims USING btree (claimer_id)
public,claims,idx_claims_claimer_item,"CREATE INDEX idx_claims_claimer_item ON public.claims USING btree (claimer_id, item_id)"
public,claims,idx_claims_claimer_purchased,"CREATE INDEX idx_claims_claimer_purchased ON public.claims USING btree (claimer_id, purchased)"
public,claims,idx_claims_item_id,CREATE INDEX idx_claims_item_id ON public.claims USING btree (item_id)
public,daily_activity_log,daily_activity_log_pkey,CREATE UNIQUE INDEX daily_activity_log_pkey ON public.daily_activity_log USING btree (id)
public,daily_activity_log,idx_daily_activity_log_event,"CREATE INDEX idx_daily_activity_log_event ON public.daily_activity_log USING btree (event_id, created_at)"
public,daily_activity_log,idx_daily_activity_log_user_date,"CREATE INDEX idx_daily_activity_log_user_date ON public.daily_activity_log USING btree (user_id, created_at)"
public,event_invites,event_invites_event_id_invitee_email_key,"CREATE UNIQUE INDEX event_invites_event_id_invitee_email_key ON public.event_invites USING btree (event_id, invitee_email)"
public,event_invites,event_invites_pkey,CREATE UNIQUE INDEX event_invites_pkey ON public.event_invites USING btree (id)
public,event_invites,idx_event_invites_email_status,"CREATE INDEX idx_event_invites_email_status ON public.event_invites USING btree (invitee_email, status) WHERE (status = 'pending'::text)"
public,event_invites,idx_event_invites_event_id,CREATE INDEX idx_event_invites_event_id ON public.event_invites USING btree (event_id)
public,event_invites,idx_event_invites_invitee_email,CREATE INDEX idx_event_invites_invitee_email ON public.event_invites USING btree (invitee_email)
public,event_invites,idx_event_invites_invitee_id,CREATE INDEX idx_event_invites_invitee_id ON public.event_invites USING btree (invitee_id)
public,event_invites,idx_event_invites_inviter_id,CREATE INDEX idx_event_invites_inviter_id ON public.event_invites USING btree (inviter_id)
public,event_invites,idx_event_invites_status,CREATE INDEX idx_event_invites_status ON public.event_invites USING btree (status)
public,event_member_stats,event_member_stats_pkey,"CREATE UNIQUE INDEX event_member_stats_pkey ON public.event_member_stats USING btree (event_id, user_id)"
public,event_member_stats,idx_event_member_stats_covering,"CREATE INDEX idx_event_member_stats_covering ON public.event_member_stats USING btree (user_id, event_id) INCLUDE (total_claims, unpurchased_claims)"
public,event_member_stats,idx_event_member_stats_event,CREATE INDEX idx_event_member_stats_event ON public.event_member_stats USING btree (event_id)
public,event_member_stats,idx_event_member_stats_updated,CREATE INDEX idx_event_member_stats_updated ON public.event_member_stats USING btree (updated_at)
public,event_member_stats,idx_event_member_stats_user,CREATE INDEX idx_event_member_stats_user ON public.event_member_stats USING btree (user_id)
public,event_members,event_members_pkey,"CREATE UNIQUE INDEX event_members_pkey ON public.event_members USING btree (event_id, user_id)"
public,event_members,idx_event_members_composite_rls,"CREATE INDEX idx_event_members_composite_rls ON public.event_members USING btree (event_id, user_id, role) WHERE (role IS NOT NULL)"
public,event_members,idx_event_members_event_id,CREATE INDEX idx_event_members_event_id ON public.event_members USING btree (event_id)
public,event_members,idx_event_members_event_user_role,"CREATE INDEX idx_event_members_event_user_role ON public.event_members USING btree (event_id, user_id, role)"
public,event_members,idx_event_members_user_id,CREATE INDEX idx_event_members_user_id ON public.event_members USING btree (user_id)
public,events,events_join_code_key,CREATE UNIQUE INDEX events_join_code_key ON public.events USING btree (join_code)
public,events,events_pkey,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id)
public,events,idx_events_id_owner,"CREATE INDEX idx_events_id_owner ON public.events USING btree (id, owner_id)"
public,events,idx_events_owner_id,CREATE INDEX idx_events_owner_id ON public.events USING btree (owner_id)
public,items,idx_items_assigned_recipient_id,CREATE INDEX idx_items_assigned_recipient_id ON public.items USING btree (assigned_recipient_id)
public,items,idx_items_created_by,CREATE INDEX idx_items_created_by ON public.items USING btree (created_by)
public,items,idx_items_list_id,CREATE INDEX idx_items_list_id ON public.items USING btree (list_id)
public,items,idx_items_list_recipient_composite,"CREATE INDEX idx_items_list_recipient_composite ON public.items USING btree (list_id, assigned_recipient_id) WHERE (assigned_recipient_id IS NOT NULL)"
public,items,items_pkey,CREATE UNIQUE INDEX items_pkey ON public.items USING btree (id)
public,list_exclusions,idx_list_exclusions_composite,"CREATE INDEX idx_list_exclusions_composite ON public.list_exclusions USING btree (list_id, user_id)"
public,list_exclusions,idx_list_exclusions_uid,CREATE INDEX idx_list_exclusions_uid ON public.list_exclusions USING btree (user_id)
public,list_exclusions,list_exclusions_pkey,"CREATE UNIQUE INDEX list_exclusions_pkey ON public.list_exclusions USING btree (list_id, user_id)"
